Date,Title,URL
22 мая 2023,Газпром. Снижение замедляется,https://bcs-express.ru/tehanaliz/gazp/22.05.23
19 мая 2023,"Три интересные бумаги на следующую неделю: TCS Group, Газпром, Газпром нефть",https://bcs-express.ru/novosti-i-analitika/tri-interesnye-bumagi-na-sleduiushchuiu-nedeliu-tcs-group-gazprom-gazprom-neft
19 мая 2023,Газпром. Три дня снижения,https://bcs-express.ru/tehanaliz/gazp/19.05.23
18 мая 2023,Дивиденды Газпрома — одно из самых ожидаемых событий на российском рынке,https://bcs-express.ru/novosti-i-analitika/dividendy-gazproma-odno-iz-samykh-ozhidaemykh-sobytii-na-rossiiskom-rynke
18 мая 2023,Газпром. Слабее рынка,https://bcs-express.ru/tehanaliz/gazp/18.05.23
17 мая 2023,Газпром. Рост в понедельник оказался избыточным,https://bcs-express.ru/tehanaliz/gazp/17.05.23
16 мая 2023,Газпром. В предвкушении дивидендов,https://bcs-express.ru/tehanaliz/gazp/16.05.23
15 мая 2023,Газпром. При таких ценах на газ расти сложно,https://bcs-express.ru/tehanaliz/gazp/15.05.23
12 мая 2023,Газпром. На какие уровни обратить внимание,https://bcs-express.ru/tehanaliz/gazp/12.05.23
11 мая 2023,Газпром. Чуть помедленнее,https://bcs-express.ru/tehanaliz/gazp/11.05.23
10 мая 2023,"Газпром. Можно еще ниже, но отскок напрашивается",https://bcs-express.ru/tehanaliz/gazp/10.05.23
8 мая 2023,Газпром. Ближайшие перспективы,https://bcs-express.ru/tehanaliz/gazp/08.05.23
5 мая 2023,Газпром. Отскок неубедителен,https://bcs-express.ru/tehanaliz/gazp/05.05.23
4 мая 2023,Газпром. Где следующая поддержка,https://bcs-express.ru/tehanaliz/gazp/04.05.23
3 мая 2023,Газпром. Вернуться к растущему тренду будет сложно,https://bcs-express.ru/tehanaliz/gazp/03.05.23
2 мая 2023,Газпром. Обновить максимум не удалось,https://bcs-express.ru/tehanaliz/gazp/02.05.23
28 апреля 2023,Газпром. Покупатели воспряли духом,https://bcs-express.ru/tehanaliz/gazp/28.04.23
27 апреля 2023,Газпром. Спускаемся к следующей поддержке,https://bcs-express.ru/tehanaliz/gazp/27.04.23
26 апреля 2023,Газпром. Все-таки коррекция,https://bcs-express.ru/tehanaliz/gazp/26.04.23
25 апреля 2023,"Газпром. Навес продаж снят, есть потенциал для роста",https://bcs-express.ru/tehanaliz/gazp/25.04.23
24 апреля 2023,Газпром. В конце недели подрасти не удалось,https://bcs-express.ru/tehanaliz/gazp/24.04.23
21 апреля 2023,"Газпром. Хуже рынка, но можем догнать",https://bcs-express.ru/tehanaliz/gazp/21.04.23
20 апреля 2023,Газпром. Коррекция или разворот?,https://bcs-express.ru/tehanaliz/gazp/20.04.23
19 апреля 2023,Газпром. Где цели растущей волны,https://bcs-express.ru/tehanaliz/gazp/19.04.23
18 апреля 2023,Газпром. Оптимизм берет верх,https://bcs-express.ru/tehanaliz/gazp/18.04.23
17 апреля 2023,Газпром. Задержались в районе 179,https://bcs-express.ru/tehanaliz/gazp/17.04.23
14 апреля 2023,Газпром. Пауза в восходящем тренде,https://bcs-express.ru/tehanaliz/gazp/14.04.23
13 апреля 2023,Сезон закачки в ПХГ Европы открыт. Сколько предстоит восполнить,https://bcs-express.ru/novosti-i-analitika/sezon-zakachki-v-pkhg-evropy-otkryt-skol-ko-predstoit-vospolnit
13 апреля 2023,Газпром. Акции упорно продолжают расти,https://bcs-express.ru/tehanaliz/gazp/13.04.23
12 апреля 2023,Газпром. Закрепиться на новых максимумах не вышло,https://bcs-express.ru/tehanaliz/gazp/12.04.23
11 апреля 2023,Газпром +4%. На пути к закрытию дивидендного гэпа,https://bcs-express.ru/novosti-i-analitika/gazprom-4-na-puti-k-zakrytiiu-dividendnogo-gepa
11 апреля 2023,Газпром. Плотное скопление сопротивлений,https://bcs-express.ru/tehanaliz/gazp/11.04.23
10 апреля 2023,Газпром. Попытка сложить восходящий тренд,https://bcs-express.ru/tehanaliz/gazp/10.04.23
7 апреля 2023,Газпром. Вернулись к снижению,https://bcs-express.ru/tehanaliz/gazp/07.04.23
6 апреля 2023,Народный портфель. Рекордная доля акций Сбербанка,https://bcs-express.ru/novosti-i-analitika/narodnyi-portfel-rekordnaia-dolia-aktsii-sberbanka
6 апреля 2023,Газпром. Рыночный оптимизм охватил и эти акции,https://bcs-express.ru/tehanaliz/gazp/06.04.23
5 апреля 2023,Газпром. Закрепиться на новых уровнях не удалось,https://bcs-express.ru/tehanaliz/gazp/05.04.23
4 апреля 2023,Газпром. Ситуация на рынке газа улучшается,https://bcs-express.ru/tehanaliz/gazp/04.04.23
3 апреля 2023,Газпром. Все еще слабее рынка,https://bcs-express.ru/tehanaliz/gazp/03.04.23
31 марта 2023,Газпром. Чего ждать дальше,https://bcs-express.ru/tehanaliz/gazp/31.03.23
30 марта 2023,Газпром. Оторвались от рынка,https://bcs-express.ru/tehanaliz/gazp/30.03.23
29 марта 2023,Газпром. В поисках нового торгового диапазона,https://bcs-express.ru/tehanaliz/gazp/29.03.23
28 марта 2023,"Газпром. Хороший импульс, но надолго ли",https://bcs-express.ru/tehanaliz/gazp/28.03.23
27 марта 2023,Газпром. Какой потенциал отскока,https://bcs-express.ru/tehanaliz/gazp/27.03.23
24 марта 2023,"Газпром. Коррекция затухает, есть шансы на отскок",https://bcs-express.ru/tehanaliz/gazp/24.03.23
23 марта 2023,"Фавориты стратегии 2023 в марте: Газпром, ПИК и Сбер",https://bcs-express.ru/novosti-i-analitika/favority-strategii-2023-v-marte-gazprom-pik-i-sber
23 марта 2023,Газпром. Коррекция продолжается,https://bcs-express.ru/tehanaliz/gazp/23.03.23
22 марта 2023,Газпром. Недолго длился оптимизм,https://bcs-express.ru/tehanaliz/gazp/22.03.23
21 марта 2023,Газпром. Выросли за компанию,https://bcs-express.ru/tehanaliz/gazp/21.03.23
20 марта 2023,Газпром. Дальше расти пока не на чем,https://bcs-express.ru/tehanaliz/gazp/20.03.23
17 марта 2023,Газпром. Быки держат уровень,https://bcs-express.ru/tehanaliz/gazp/17.03.23
